"","bioguide_id","icpsr_id"
"1125","C000322",14805
"1126","C000338",1678
"1127","C000342",1682
"1128","C000344",14611
"1129","C000346",1684
"1130","C000356",13101
"1131","C000365",1702
"1132","C000371",12008
"1133","C000383",1717
"1134","C000385",29530
"1135","C000388",1721
"1136","C000389",1722
"1137","C000409",10510
"1138","C000444",1776
"1139","C000448",14102
"1140","C000462",15017
"1141","C000475",10579
"1142","C000476",10580
"1143","C000512",10581
"1144","C000516",10711
"1145","C000523",14612
"1146","C000540",1861
"1147","C000542",14806
"1148","C000555",15091
"1149","C000581",14613
"1150","C000589",1904
"1151","C000596",1911
"1152","C000598",14010
"1153","C000618",14410
"1154","C000621",15018
"1155","C000629",1941
"1156","C000633",29125
"1157","C000634",14068
"1158","C000637",12045
"1159","C000638",11066
"1160","C000645",1952
"1161","C000646",NA
"1162","C000666",10712
"1163","C000682",14011
"1164","C000702",13057
"1165","C000709",2009
"1166","C000721",12102
"1167","C000725",2023
"1168","C000736",2032
"1169","C000737",29557
"1170","C000767",29303
"1171","C000772",2065
"1172","C000773",14411
"1173","C000775",NA
"1174","C000780",10511
"1175","C000782",14211
"1176","C000787",14412
"1177","C000788",NA
"1178","C000799",13009
"1179","C000802",2087
"1180","C000807",12010
"1181","C000809",14614
"1182","C000823",11010
"1183","C000836",29116
"1184","C000845",14807
"1185","C000866",10714
"1186","C000869",2143
"1187","C000871",14615
"1188","C000877",12103
"1189","C000903",29551
"1190","C000919",14681
"1191","C000925",14012
"1192","C000979",10715
"1193","C000991",2255
"1194","C000992",14468
"1195","C000997",13051
"1196","C001005",2266
"1197","C001006",2267
"1198","C001011",2272
"1199","C001014",2275
"1200","D000017",14284
"1201","D000001",2295
"1202","D000004",2298
"1203","D000030",14501
"1204","D000037",14013
"1205","D000038",12011
"1206","D000041",2329
"1207","D000043",13010
"1208","D000044",14616
"1209","D000051",15081
"1210","D000065",14810
"1211","D000094",2376
"1212","D000102",2383
"1213","D000106",15409
"1214","D000109",2389
"1215","D000125",13048
"1216","D000203",10716
"1217","D000209",NA
"1218","D000183",14619
"1219","D000185",14502
"1220","D000211",2476
"1221","D000220",11011
"1222","D000222",13011
"1223","D000231",14811
"1224","D000234",13012
"1225","D000239",11012
"1226","D000241",12012
"1227","D000255",2513
"1228","D000259",14901
"1229","D000260",2517
"1230","D000266",2523
"1231","D000267",14212
"1232","D000269",2525
"1233","D000279",2533
"1234","D000326",10717
"1235","D000344",2594
"1236","D000359",15095
"1237","D000360",2609
"1238","D000368",2616
"1239","D000390",2636
"1240","D000401",10513
"1241","D000402",2646
"1242","D000409",10514
"1243","D000416",14621
"1244","D000419",2660
"1245","D000425",2665
"1246","D000433",2671
"1247","D000434",2672
"1248","D000435",14414
"1249","D000451",15602
