id,year,fips_new,fips_old,hand check,note
D000327,1942,53035,,,
D000327,1943,53035,,,
D000327,1944,53035,,,
D000327,1945,53035,,,
D000327,1946,53035,,,
D000327,1947,53035,,,
D000327,1948,53035,,,
D000327,1949,53035,,,
D000327,1950,53035,,,
D000327,1951,53035,,,
D000327,1952,53035,,,
D000327,1953,53035,,,
D000327,1954,53035,,,
D000327,1955,53035,,,
D000327,1956,53035,,,
D000327,1957,53035,,,
D000327,1958,53035,,,
D000327,1959,53033,53035,,
D000327,1959,53035,53035,,
D000327,1960,53033,,,
D000327,1961,53033,,,
D000327,1962,53033,,,
D000327,1963,53033,53033,,
D000327,1964,53033,,,
D000327,1965,53033,,,
D000327,1966,53033,,,
D000327,1967,53033,,,
D000327,1968,11001,53033,,
D000327,1968,53033,53033,,
D000327,1969,11001,,,
D000327,1970,11001,,,
D000327,1971,11001,,,
D000327,1972,11001,,,
D000327,1973,11001,,,
D000327,1974,11001,,,
D000327,1975,11001,,,
D000327,1976,11001,,,
D000327,2012,,,,
D000432,1942,38089,,,
D000432,1943,38089,,,
D000432,1944,38089,,,
D000432,1945,38089,,,
D000432,1946,38089,,,
D000432,1947,38089,,,
D000432,1948,38089,,,
D000432,1949,38089,,,
D000432,1950,38089,,,
D000432,1951,38089,,,
D000432,1952,38089,,,
D000432,1953,38089,,,
D000432,1954,38089,,,
D000432,1955,38089,,,
D000432,1956,38089,,,
D000432,1957,38089,,,
D000432,1958,38089,,,
D000432,1959,38089,,,
D000432,1960,38089,,,
D000432,1961,38089,,,
D000432,1962,38089,,,
D000432,1963,38089,,,
D000432,1964,8031,38035,,
D000432,1964,38089,38035,,
D000432,1965,8031,38035,,
D000432,1966,8031,8031,,
D000432,1969,,38015,,
D000432,1970,,38015,,
D000432,1971,,38015,,
D000432,1972,,38015,,
D000432,1973,,38015,,
D000432,1974,,38015,,
D000432,1975,,38015,,
D000432,1976,,38015,,
D000432,1977,,38015,,
D000432,1978,,38015,,
D000432,1979,,38015,,
D000432,1980,,38015,,
D000432,1980,,,,
D000432,1981,,38015,,
D000432,1982,,,,
D000432,1983,,,,
D000432,1984,,,,
D000432,1985,,,,
D000432,1990,,,,
D000432,1992,,,,
D000432,1998,,,,
D000432,2010,,,,
D000609,1966,39061,,,
D000609,1967,39061,,,
D000609,1968,39061,,,
D000609,1969,39061,,,
D000609,1970,39061,,,
D000609,1971,39061,,,
D000609,1972,39061,,,
D000609,1973,39061,,,
D000609,1974,39061,,,
D000609,1975,39061,,,
D000609,1976,39061,,,
D000609,1977,39061,,,
D000609,1978,39061,,,
D000609,1979,39061,,,
D000609,1980,39061,,,
D000609,1981,39061,,,
D000609,1982,39061,,,
D000609,1983,39061,,,
D000609,1984,39017,39061,,
D000609,1984,39061,39061,,
D000609,1985,39017,,,
D000609,1986,39017,,,
D000609,1987,39017,,,
D000609,1988,39017,39017,,
D000609,1988,39017,,,
D000609,1989,,,,
D000609,1990,,,,
D000609,1991,,,,
D000609,1995,,,,
D000609,2001,,,,
D000609,2002,,,,
D000609,2003,,,,
D000609,2004,,,,
D000609,2005,,,,
D000609,2006,,,,
D000609,2007,,,,
D000609,2008,,,,
D000609,2009,,,,
D000609,2010,,,,
D000609,2011,,,,
D000620,1963,34003,34003,,
D000620,1964,34003,,,
D000620,1965,34003,,,
D000620,1966,34003,,,
D000620,1967,34003,,,
D000620,1968,34003,,,
D000620,1969,34003,,,
D000620,1970,34003,,,
D000620,1971,34003,,,
D000620,1972,34003,,,
D000620,1973,34003,,,
D000620,1974,34003,,,
D000620,1975,34003,,,
D000620,1976,34003,,,
D000620,1977,34003,,,
D000620,1978,34003,,,
D000620,1979,34003,,,
D000620,1980,34003,,,
D000620,1981,36061,,,
D000620,1981,34003,,,
D000620,1982,36061,,,
D000620,1983,36061,,,
D000620,1984,36061,,,
D000620,1985,11001,36061,,
D000620,1985,36061,36061,,
D000620,1986,11001,,,
D000620,1987,11001,,,
D000620,1988,11001,,,
D000620,1993,,,,
D000620,1994,,,,
D000620,1995,,,,
D000620,1996,,,,
D000620,1997,,,,
D000620,1998,,,,
D000620,1999,,,,
D000620,2000,,,,
D000620,2001,,,,
D000620,2002,,,,
D000620,2003,,,,
D000620,2004,,,,
D000620,2005,,,,
D000620,2006,,,,
D000620,2007,,,,
D000620,2008,,,,
D000620,2009,,,,
D000620,2010,,,,
D000620,2011,,,,
D000620,2012,,,,
D000620,2013,,,,
D000620,2014,,,,
D000620,2015,,,,
D000620,2016,,,,
D000620,2017,,,,
D000626,1989,36071,,,
D000626,1990,36071,,,
D000626,1991,36071,,,
D000626,1992,36071,,,
D000626,1993,36071,,,
D000626,1994,36071,,,
D000626,1995,36071,,,
D000630,1977,36093,,,
D000630,1978,36093,,,
D000630,1979,36093,,,
D000630,1980,36093,,,
D000630,1981,36093,,,
D000630,1982,36093,,,
D000630,1983,36093,,,
D000630,1984,36093,,,
D000630,1985,36093,,,
D000630,1986,36093,,,
D000630,1987,36093,,,
D000630,1988,36093,,,
D000630,1989,36093,,,
D000630,1990,36093,,,
D000630,1991,36093,,,
D000630,1992,36093,,,
D000630,1993,36093,,,
D000630,1994,36093,,,
D000630,1995,36093,,,
D000630,2001,25017,,,
D000630,2002,25017,,,
D000630,2003,25017,,,
D000630,2004,25017,,,
D000630,2005,25017,,,
D000630,2019,36061,,,
D000630,2020,36061,,,
D000630,2021,36061,,,
D000630,2022,36061,,,
E000293,1959,17031,,,
E000293,1960,17031,,,
E000293,1961,17031,,,
E000293,1962,17031,,,
E000293,1963,17031,,,
E000293,1964,17031,,,
E000293,1965,17031,,,
E000293,1966,17031,,,
E000293,1967,17031,,,
E000293,1968,17031,,,
E000293,1969,17031,,,
E000293,1970,17031,,,
E000293,1971,17031,,,
E000293,1972,17031,,,
E000293,1973,17031,,,
E000293,1974,17031,,,
E000293,1975,17031,,,
E000293,1976,17031,,,
E000293,1977,25017,,,
E000293,1977,17031,,,
E000293,1978,25017,,,
E000293,1979,25017,,,
E000293,1980,25017,,,
E000293,1981,9170,25017,,
E000293,1981,25017,25017,,
E000293,1982,9170,,,
E000293,1983,9170,,,
E000293,1984,9170,,,
E000293,1985,9170,9009,,
E000293,2005,9140,9009,,
E000293,2006,9140,9009,,
E000293,2007,9140,9009,,
E000293,2008,9140,9009,,
E000293,2008,9140,9009,,
E000293,2008,9140,,,
E000293,2008,9140,9003,,
E000293,2009,,9003,,
E000293,2010,,9003,,
E000293,2012,,,,
E000293,2013,,,,
E000293,2014,,,,
E000293,2015,,,,
E000293,2016,,,,
E000293,2017,,,,
F000061,1953,55105,55105,,
F000061,1954,55105,,,
F000061,1955,55105,,,
F000061,1956,55105,,,
F000061,1957,55105,,,
F000061,1958,55105,,,
F000061,1959,55105,,,
F000061,1960,55105,,,
F000061,1961,55105,,,
F000061,1962,55105,,,
F000061,1963,55105,,,
F000061,1964,55105,,,
F000061,1965,55105,,,
F000061,1966,55105,,,
F000061,1967,55105,,,
F000061,1968,55105,,,
F000061,1969,55105,,,
F000061,1970,55105,,,
F000061,1971,55025,55105,,
F000061,1971,55105,55105,,
F000061,1972,55025,,,
F000061,1973,55025,,,
F000061,1974,55025,,,
F000061,1975,55025,55025,,
F000061,1977,25017,,,
F000061,1978,25017,,,
F000061,1979,55025,25017,,
F000061,1979,25017,25017,,
F000061,1980,55025,,,
F000061,1981,55025,,,
F000061,1982,55025,,,
F000061,1983,55025,,,
F000061,1983,55025,55025,,
F000061,1984,55025,,,
F000061,1984,55025,55025,,
F000061,1985,55105,55105,,
F000061,1985,55105,55105,,
F000061,1985,55105,,,
F000061,1985,55105,55025,,
F000061,1985,55025,55105,,
F000061,1985,55025,55105,,
F000061,1985,55025,,,
F000061,1985,55025,55025,,
F000061,1986,55105,55025,,
F000061,1987,55105,55025,,
F000061,1988,55105,55025,,
F000061,1989,55105,55025,,
F000061,1990,55105,55025,,
F000061,1991,55105,55025,,
F000061,1992,55105,55025,,
F000061,1992,55105,,,
F000061,1993,55105,55025,,
F000061,2010,,,,
F000262,1970,47157,47157,,
F000262,1971,47157,,,
F000262,1972,47157,,,
F000262,1973,47157,,,
F000262,1974,47157,,,
F000262,1975,47157,,,
F000262,1976,47157,,,
F000262,1977,47157,,,
F000262,1978,47157,,,
F000262,1979,47157,,,
F000262,1980,47157,,,
F000262,1981,47157,,,
F000262,1982,47157,,,
F000262,1983,47157,,,
F000262,1984,47157,,,
F000262,1985,47157,,,
F000262,1986,47157,,,
F000262,1987,47157,,,
F000262,1988,42101,,,
F000262,1988,47157,,,
F000262,1989,42101,,,
F000262,1990,42101,,,
F000262,1991,42101,,,
F000262,1992,11001,42101,,
F000262,1992,11001,,,
F000262,1992,42101,42101,,
F000262,1992,42101,,,
F000262,1993,26161,,,
F000262,1993,11001,,,
