id,year,fips_new,fips_old
C001059,1962.0,6019.0,
C001059,1963.0,6019.0,
C001059,1964.0,6019.0,
C001059,1965.0,6019.0,
C001059,1966.0,6019.0,
C001059,1967.0,6019.0,
C001059,1968.0,6019.0,
C001059,1969.0,6019.0,
C001059,1970.0,6019.0,
C001059,1971.0,6019.0,
C001059,1972.0,6019.0,
C001059,1973.0,6019.0,
C001059,1974.0,6019.0,6019
C001059,1975.0,,
C001059,1976.0,,
C001059,1977.0,,
C001059,1978.0,,
C001059,1978.0,,6013
C001059,1979.0,,6013
C001059,1980.0,,6013
C001059,1981.0,,6013
C001059,1982.0,,6013
C001059,1983.0,,6013
C001059,1984.0,,6013
C001059,1985.0,,6013
C001059,1986.0,,6013
C001059,1987.0,,6013
C001059,1988.0,,6013
C001059,1989.0,,6013
C001059,1990.0,,6013
C001059,1991.0,,6013
C001059,1992.0,,6013
C001059,1993.0,,6013
C001059,1994.0,,6013
C001059,1994.0,,6037
C001059,1995.0,,6037
C001059,1996.0,,6037
C001059,1997.0,,6037
C001059,1998.0,,6037
C001059,1999.0,,6037
C001059,2000.0,,6037
C001059,2001.0,,6037
C001059,2002.0,,6037
C001059,2002.0,,
C001059,2003.0,,
C001059,2004.0,,
C001059,2005.0,,
C001059,2006.0,,
C001059,2007.0,,
C001059,2008.0,,
C001059,2009.0,,
C001059,2010.0,,
C001059,2011.0,,
C001059,2012.0,,
C001059,2013.0,,
C001059,2014.0,,
C001059,2015.0,,
C001059,2016.0,,
C001059,2017.0,,
C001077,1955.0,29169.0,
C001077,1956.0,29169.0,
C001077,1957.0,29169.0,
C001077,1958.0,29169.0,
C001077,1959.0,29169.0,
C001077,1960.0,29169.0,
C001077,1961.0,29169.0,
C001077,1962.0,29169.0,
C001077,1963.0,29169.0,
C001077,1964.0,29169.0,
C001077,1965.0,29169.0,
C001077,1966.0,29169.0,
C001077,1967.0,29169.0,
C001077,1968.0,29169.0,
C001077,1969.0,29169.0,
C001077,1970.0,29169.0,
C001077,1971.0,29169.0,
C001077,1972.0,29169.0,40143
C001077,1973.0,,40143
C001077,1974.0,,40143
C001077,1975.0,,
C001077,1976.0,,
C001077,1977.0,,
C001077,1978.0,,
C001077,1979.0,,8013
C001077,1979.0,,
C001077,1980.0,,
C001077,1981.0,,
C001077,1982.0,,
C001077,1989.0,,
C001077,1990.0,,
C001077,1991.0,,
C001077,1992.0,,
C001077,1993.0,,
C001077,1994.0,,
C001077,1994.0,,8031
C001077,1995.0,,8031
C001077,1996.0,,8031
C001077,1997.0,,8031
C001077,1998.0,,8031
C001077,1999.0,,8031
C001077,2000.0,,8031
C001077,2001.0,,8031
C001077,2002.0,,8031
C001077,2003.0,,8031
C001077,2004.0,,8031
C001077,2005.0,,8031
C001077,2006.0,,8031
C001077,2007.0,,8031
